Ticket Number,Date Created,Subject,From,From Email,Priority,Department,Type,Source,Current Status,Last Updated,Due Date,Overdue,Answered,Agent Assigned,Team Assigned,Thread Count,Attachment Count,Category,Issue Origin,Select Ticket Status Update,SLA Due Date,Breached SLA
111177,1/17/2019 1:00,Criminal case system,Sheila Ryder,sryder@mailinator.com,High,Internal Technical Department,Incident / Problem,Web,Closed,10/1/2019 10:49,6/20/2019 18:15,0,1,Stellar Murad,Help Desk Team,6,0,PROD,PRODUCTION,New Ticket,1/22/2019 0:00,No
111271,7/24/2019 14:42,missing content on the ff Process Objects,Atom Short,atom.short@gmail.com,High,Internal Technical Department,Incident / Problem,Web,Closed,10/1/2019 10:44,6/13/2019 18:30,0,1,Stellar Murad,BPM - ProcessMaker Support Team,9,7,PROD,PRODUCTION,New Ticket,7/29/2019 0:00,No
111297,9/9/2019 10:43,Issue with Journal Import via Journal Wizard,Kimberly Jones,kjones@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,9/26/2019 16:52,6/10/2019 17:00,0,1,Jared Smith,JDE Support Team,32,8,NON-PROD,PRODUCTION,New Ticket,9/12/2019 0:00,No
111291,8/28/2019 9:17,JDE PROD Slowdown 28 Aug 2019,Julius Wright,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,9/19/2019 17:25,5/6/2019 21:24,0,1,Jared Smith,JDE Support Team,12,3,PROD,TEST,New Ticket,9/2/2019 0:00,No
111296,9/3/2019 10:26,JDE Prod Error in validation of DV,Julius Wright,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,9/18/2019 17:21,4/23/2019 0:57,0,1,Jared Smith,JDE Support Team,19,1,NON-PROD,PRODUCTION,Open ,9/6/2019 0:00,No
111299,9/10/2019 9:29,JDE TEST: Error in java applet,Melody Thompson,mthompson@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,9/17/2019 17:02,5/10/2019 21:27,0,1,Jared Smith,JDE Support Team,7,1,PROD,TEST,New Ticket,9/13/2019 0:00,No
111120,2/6/2019 9:43,[SAP] Term Activate a Student,Michelle Walters,michelle.walters@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,9/11/2019 17:27,5/14/2019 21:41,0,1,Jared Smith,SAP Support Team,11,4,PROD,PRODUCTION,New Ticket,2/11/2019 0:00,No
111286,8/13/2019 14:07,[TEST Instance] Hung Concurrent Requests,Kimberly Jones,kjones@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,9/2/2019 17:20,4/22/2019 23:22,0,1,Jared Smith,JDE Support Team,12,2,PROD,PRODUCTION,New Ticket,8/16/2019 0:00,No
111288,8/20/2019 9:12,Test instance - license expired,Wilson Campus,wilson.campus@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,8/29/2019 17:04,4/25/2019 23:42,0,1,Jared Smith,JDE Support Team,9,3,NON-PROD,PRODUCTION,New Ticket,8/23/2019 0:00,No
111206,5/21/2019 15:13,JDE PROD Slowdown 21 May 2019,Julius Wright,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,8/27/2019 8:35,3/28/2019 20:25,0,1,Jared Smith,JDE Support Team,46,3,PROD,TEST,New Ticket,5/24/2019 0:00,No
111201,5/14/2019 16:00,Expense Report Approval Hierarchy Issue,Reah Junes,rjunes@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,8/22/2019 18:53,3/21/2019 1:28,0,1,Jared Smith,JDE Support Team,20,3,PROD,PRODUCTION,New Ticket,5/17/2019 0:00,No
111284,8/9/2019 8:25,Can't Access ODSM,Marvin Peters,mpeters@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,8/20/2019 17:04,3/21/2019 1:26,0,1,Jared Smith,SAP Support Team,11,2,NON-PROD,PRODUCTION,New Ticket,8/14/2019 0:00,No
111273,7/28/2019 16:08,SQL Error Message,Aurora Miller,aurora.miller@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,8/6/2019 8:32,8/7/2021 3:18,0,1,Jared Smith,SAP Support Team,10,6,PROD,TEST,New Ticket,7/31/2019 0:00,No
111269,7/23/2019 11:06,OpenVPN Problem,Wilson Campus,wilson.campus@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,7/29/2019 17:39,4/1/2019 23:21,0,1,Jared Smith,JDE Support Team,9,2,NON-PROD,PRODUCTION,New Ticket,7/26/2019 0:00,No
111252,7/8/2019 15:56,multitenant error,Atom Short,atom.short@gmail.com,High,Internal Technical Department,Incident / Problem,Web,Closed,7/18/2019 17:31,3/28/2019 22:23,0,1,Stellar Murad,Help Desk Team,14,2,PROD,TEST,New Ticket,7/11/2019 0:00,No
111248,7/4/2019 15:42,Setup of Earnings,Wilson Campus,wilson.campus@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,7/15/2019 17:29,2/22/2019 5:00,0,1,Jared Smith,JDE Support Team,9,2,PROD,PRODUCTION,Close Ticket,7/9/2019 0:00,No
111247,7/3/2019 10:50,Unable to tuition calc for the specific student.,Jasper John,jasper.john@gmail.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,7/12/2019 17:33,3/21/2019 20:24,0,1,Jared Smith,SAP Support Team,8,2,NON-PROD,PRODUCTION,New Ticket,7/8/2019 0:00,No
111203,5/15/2019 14:18,JDE PROD - Error status of transactions,Julius Wright,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,7/10/2019 17:24,3/13/2019 3:32,0,1,Jared Smith,JDE Support Team,9,2,NON-PROD,TEST,New Ticket,5/20/2019 0:00,No
111242,6/27/2019 16:37,Legal case system ERROR,Sheila Ryder,sryder@mailinator.com,High,Internal Technical Department,Incident / Problem,Web,Open,7/5/2019 10:10,2/19/2019 23:15,1,0,Jose Satary,Help Desk Team,3,1,PROD,TEST,New Ticket,7/2/2019 0:00,No
111243,6/27/2019 17:01,Legal case system - Criminal case,Sheila Ryder,sryder@mailinator.com,High,Internal Technical Department,Incident / Problem,Web,Open,7/5/2019 10:10,2/1/2019 23:59,1,0,Jared Smith,Help Desk Team,3,0,PROD,PRODUCTION,Close Ticket,7/2/2019 0:00,No
111240,6/24/2019 13:24,VPN Access,Marvin Peters,mpeters@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,7/1/2019 17:33,2/20/2019 3:52,0,1,Jared Smith,AWS Team,6,1,PROD,PRODUCTION,New Ticket,6/27/2019 0:00,No
111146,3/19/2019 8:21,JDE Prod Slowdown 19 March 2019,Julius Wright,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,7/1/2019 17:23,2/18/2019 21:52,0,1,Jared Smith,JDE Support Team,35,5,NON-PROD,PRODUCTION,New Ticket,3/22/2019 0:00,No
111220,5/31/2019 13:19,Workflow Notification won't start,Vic Vincent,vic.vincent@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,6/21/2019 18:08,2/7/2019 22:23,0,1,Stellar Murad,SAP Support Team,17,1,PROD,TEST,New Ticket,6/5/2019 0:00,No
111224,6/4/2019 10:58,Salary Basis,Wilson Campus,wilson.campus@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,6/21/2019 16:27,2/1/2019 22:15,0,1,Jared Smith,JDE Support Team,8,3,NON-PROD,PRODUCTION,New Ticket,6/7/2019 0:00,No
111216,5/29/2019 16:08,COS Issue-Missing Remarks,Paul Jiggins,pjiggins@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,6/21/2019 14:47,7/30/2018 13:54,0,1,Jared Smith,JDE Support Team,14,3,NON-PROD,DEVELOPMENT,New Ticket,6/3/2019 0:00,No
111221,6/3/2019 9:35,Cannot Terminate Assignment of an Employee,Paul Jiggins,pjiggins@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,6/14/2019 17:42,9/29/2023 22:32,0,1,Jared Smith,JDE Support Team,15,6,NON-PROD,TEST,New Ticket,6/6/2019 0:00,No
111217,5/29/2019 16:18,COS Issue-Application Error encountered,Paul Jiggins,pjiggins@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,6/14/2019 14:02,8/25/2023 20:31,0,1,Jared Smith,JDE Support Team,8,3,NON-PROD,DEVELOPMENT,Close Ticket,6/3/2019 0:00,No
111193,5/6/2019 9:24,Application Cache Stock on queued,Aurora Miller,aurora.miller@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,6/7/2019 17:37,10/7/2023 20:40,0,1,Jared Smith,SAP Support Team,11,4,NON-PROD,TEST,Close Ticket,5/9/2019 0:00,No
111183,4/22/2019 12:57,JDE PROD - Timeout Expense Report (22 Apr 2019),Julius Wright,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,6/4/2019 17:15,11/24/2020 12:18,0,1,Jared Smith,JDE Support Team,61,11,PROD,DEVELOPMENT,New Ticket,4/25/2019 0:00,No
111198,5/10/2019 9:27,Transactions are being deferred ,Reah Junes,rjunes@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,6/3/2019 17:29,10/7/2023 1:16,0,1,Jared Smith,JDE Support Team,13,2,PROD,PRODUCTION,New Ticket,5/15/2019 0:00,No
111199,5/14/2019 9:41,DEV Server unable to boot up,John Brown,jbrown@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,5/29/2019 16:59,10/5/2023 4:22,0,1,Jared Smith,SAP Support Team,11,3,NON-PROD,PRODUCTION,New Ticket,5/17/2019 0:00,No
111194,5/6/2019 16:49,JDE PROD - Requests not completing (06 May 2019),Julius Wright,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,5/14/2019 19:47,5/10/2020 2:18,0,1,Jared Smith,JDE Support Team,26,5,NON-PROD,TEST,New Ticket,5/9/2019 0:00,No
111187,4/29/2019 8:33,JDE PROD - Slowdown access (29 Apr 2019),Julius Wright,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,5/10/2019 17:31,9/23/2023 3:13,0,1,Jared Smith,JDE Support Team,10,2,NON-PROD,PRODUCTION,New Ticket,5/2/2019 0:00,No
111182,4/22/2019 11:22,UPOU cannot print SALN,Vic Vincent,vic.vincent@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Email,Closed,5/8/2019 17:18,9/17/2023 2:18,0,1,Jared Smith,JDE Support Team,9,4,PROD,TEST,Close Ticket,4/25/2019 0:00,No
111185,4/25/2019 11:42,JDE PROD - Error in updating AME setup,Julius Wright,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,5/6/2019 17:55,3/6/2021 0:34,0,1,Jared Smith,JDE Support Team,11,5,PROD,PRODUCTION,New Ticket,4/30/2019 0:00,No
111157,3/28/2019 8:25,Unable to log in to JDE Prod (28 March 2019),Julius Wright,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,4/30/2019 9:53,9/28/2023 4:18,0,1,Jared Smith,JDE Support Team,21,3,PROD,PRODUCTION,Close Ticket,4/2/2019 0:00,No
111152,3/20/2019 13:28,Deferred Internet Expenses (20 March 2019),Julius Wright,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,4/10/2019 18:16,10/6/2023 3:28,0,1,Jared Smith,JDE Support Team,25,1,PROD,DEVELOPMENT,New Ticket,3/25/2019 0:00,No
111151,3/20/2019 13:26,Deferred Purchase Order Approvals,Reah Junes,rjunes@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,4/10/2019 17:59,9/16/2023 1:35,0,1,Jared Smith,JDE Support Team,33,9,NON-PROD,TEST,New Ticket,3/25/2019 0:00,No
111149,3/20/2019 11:44,Deferred ReqJDEition Approvals,Reah Junes,rjunes@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,4/10/2019 17:59,1/29/2021 6:31,0,1,Jared Smith,JDE Support Team,6,2,NON-PROD,TEST,New Ticket,3/25/2019 0:00,No
111121,2/6/2019 15:18,"Missing SPMS PMP 2016, 2017 and 2018",Vic Vincent,vic.vincent@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Email,Closed,4/4/2019 17:29,9/17/2023 2:23,0,1,Jared Smith,JDE Support Team,18,3,PROD,TEST,New Ticket,2/11/2019 0:00,No
111136,2/21/2019 17:00,JDE Prod Slowdown 21 Feb 2019,Julius Wright,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,3/28/2019 17:40,9/16/2023 4:24,0,1,Jared Smith,JDE Support Team,35,2,PROD,PRODUCTION,New Ticket,2/26/2019 0:00,No
111154,3/21/2019 8:24,JDE Prod Slowdown 21 March 2019,Julius Wright,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,3/28/2019 17:40,9/16/2023 4:37,0,1,Jared Smith,JDE Support Team,12,1,PROD,PRODUCTION,New Ticket,3/26/2019 0:00,No
111143,3/12/2019 15:32,JDE Prod Slowdown (12 March 2019),Julius Wright,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,3/28/2019 17:40,2/16/2021 4:55,0,1,Jared Smith,JDE Support Team,7,2,NON-PROD,PRODUCTION,New Ticket,3/15/2019 0:00,No
111122,2/6/2019 16:24,Error in submitting updated Approved POs,Reah Junes,rjunes@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,3/22/2019 18:39,11/17/2020 4:05,0,1,Jared Smith,JDE Support Team,116,37,PROD,TEST,New Ticket,2/11/2019 0:00,No
111138,2/27/2019 10:33,Unable to add attachment in the Invoice,Julius Wright,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,3/20/2019 17:15,9/24/2023 22:23,0,1,Jared Smith,JDE Support Team,9,1,PROD,PRODUCTION,New Ticket,3/4/2019 0:00,No
111131,2/19/2019 11:15,Auto Approve Salary,Reah Junes,rjunes@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,3/18/2019 18:13,2/23/2021 3:16,0,1,Jared Smith,JDE Support Team,8,1,NON-PROD,TEST,New Ticket,2/22/2019 0:00,No
111116,2/1/2019 11:59,Approval Notification not forwarding,Reah Junes,rjunes@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,3/5/2019 18:07,12/27/2020 10:34,0,1,Jared Smith,JDE Support Team,8,4,NON-PROD,TEST,New Ticket,2/6/2019 0:00,No
111133,2/19/2019 15:52,Error in submission of PPMP,Julius Wright,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,3/5/2019 18:04,9/9/2023 22:44,0,1,Jared Smith,JDE Support Team,7,1,PROD,TEST,New Ticket,2/22/2019 0:00,No
111129,2/18/2019 9:52,Total unit passed,Jasper John,jasper.john@gmail.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,3/2/2019 9:36,7/8/2020 1:27,0,1,Jared Smith,SAP Support Team,7,6,NON-PROD,PRODUCTION,New Ticket,2/21/2019 0:00,No
111123,2/7/2019 10:23,Cannot Access / Incorrect Data on Log In Page,Kimberly Jones,kjones@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,2/20/2019 16:21,9/24/2023 7:06,0,1,Satya Prakash,JDE Support Team,6,1,NON-PROD,TEST,New Ticket,2/12/2019 0:00,No
111115,2/1/2019 10:15,Dev Instance | Record View Issue,John Brown,jbrown@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,2/14/2019 14:52,9/23/2023 5:54,0,1,Satya Prakash,SAP Support Team,14,5,NON-PROD,DEVELOPMENT,Close Ticket,2/6/2019 0:00,No
627778,7/30/2018 7:54,Firewall policy migration,Joseph Reynolds,jreynolds@yahoo.com,High,Internal Technical Department,Incident / Problem,Web,Resolved,12/6/2018 1:12,7/29/2020 13:16,1,1,Satya Prakash,Workday Team,18,0,NON-PROD,TEST,New Ticket,8/2/2018 0:00,No
111656,3/31/2021 10:32,Cannot access JDE-SIT in MAC,Melody Thompson,mthompson@yahoo.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Open,4/12/2021 9:15,9/14/2023 22:02,0,0,Mark Jikkins,JDE Support Team,3,1,NON-PROD,TEST,New Ticket,4/7/2021 0:00,No
111624,2/24/2021 8:31,Employee Legislative Information - Mismatch,Troy Daniels,troy.daniels@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Open,4/8/2021 11:24,9/21/2023 23:16,0,1,Mark Jikkins,JDE Support Team,17,4,NON-PROD,TEST,Close Ticket,3/3/2021 0:00,No
111560,11/19/2020 12:18,STUCK PR and PPMP Approval,Riza Richardson,rrichardson@mailinator.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,4/7/2021 17:34,3/27/2021 18:25,0,1,Jared Smith,JDE Support Team,41,8,PROD,PRODUCTION,New Ticket,11/26/2020 0:00,No
111420,5/5/2020 2:18,Deferred PO Transactions,Riza Richardson,rrichardson@mailinator.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Open,4/7/2021 14:53,2/2/2021 10:39,1,0,Satya Prakash,JDE Support Team,179,43,PROD,PRODUCTION,New Ticket,5/12/2020 0:00,No
111650,3/24/2021 15:13,BEE Spreadsheet Issue,Melody Thompson,mthompson@yahoo.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Resolved,4/7/2021 14:09,3/9/2021 13:13,0,1,Satya Prakash,JDE Support Team,6,3,PROD,PRODUCTION,New Ticket,3/31/2021 0:00,No
111630,3/5/2021 12:34,JDE Payables UPMin Attachment ,Erick White,ewhite@yahoo.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Open,4/7/2021 8:39,3/4/2021 3:44,1,0,Satya Prakash,JDE Support Team,8,2,PROD,PRODUCTION,New Ticket,3/12/2021 0:00,No
111639,3/17/2021 13:35,Appraisal Issue,Jane Wilberts,jwilberts@mailinator.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Open,4/6/2021 14:21,2/24/2021 23:34,0,1,Satya Prakash,JDE Support Team,8,4,NON-PROD,TEST,New Ticket,3/24/2021 0:00,No
111640,3/17/2021 16:24,Loading upon saving Expression on Query Manager,Marvin Peters,mpeters@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Open,3/30/2021 18:00,2/16/2021 1:47,0,1,Satya Prakash,SAP Support Team,18,0,NON-PROD,TEST,Close Ticket,3/24/2021 0:00,No
111641,3/17/2021 16:37,Past due balance posted in Student Center,Marvin Peters,mpeters@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Resolved,3/30/2021 17:55,2/16/2021 1:53,0,0,Satya Prakash,SAP Support Team,23,0,PROD,TEST,New Ticket,3/24/2021 0:00,No
111617,2/15/2021 16:55,Integration Broker Issue ,Aurora Miller,aurora.miller@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,3/30/2021 17:03,2/16/2021 2:02,0,1,Jared Smith,SAP Support Team,22,4,NON-PROD,PRODUCTION,New Ticket,2/22/2021 0:00,No
111556,11/16/2020 16:05,Java Web Start Implementation ,Kimberly Jones,kjones@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Open,3/30/2021 16:30,2/4/2021 2:11,1,1,Raya Musk,JDE Support Team,42,0,PROD,DEVELOPMENT,New Ticket,11/23/2020 0:00,No
111622,2/22/2021 15:16,Unable to Attach Update XML file in Data Def,Kian Rogers,krogers@mailinator.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Resolved,3/29/2021 14:01,2/13/2021 7:25,1,0,Raya Musk,JDE Support Team,13,1,NON-PROD,PRODUCTION,New Ticket,3/1/2021 0:00,No
111583,12/22/2020 10:34,RetroPay Report not displaying in PDF,Melody Thompson,mthompson@yahoo.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,3/29/2021 13:35,8/21/2023 3:07,0,1,Jared Smith,JDE Support Team,27,11,PROD,TEST,New Ticket,12/29/2020 0:00,No
111634,3/11/2021 10:44,1900 emails from JDE workflow notif mailer 2/22/21,Erick White,ewhite@yahoo.com,Normal,SAP JDE Support Department,Incident / Problem,Other,Resolved,3/29/2021 13:16,2/16/2021 3:57,0,1,Raya Musk,JDE Support Team,6,0,PROD,PRODUCTION,Close Ticket,3/18/2021 0:00,No
111457,7/7/2020 13:27,DV Approval Error,Kimberly Jones,kjones@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Open,3/29/2021 11:25,8/17/2023 5:07,1,1,Raya Musk,JDE Support Team,33,3,PROD,PRODUCTION,New Ticket,7/14/2020 0:00,No
111476,7/24/2020 13:16,Cannot Terminate Employment,Melody Thompson,mthompson@yahoo.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,3/24/2021 15:10,11/9/2020 8:24,0,1,Jared Smith,JDE Support Team,85,27,PROD,PRODUCTION,Close Ticket,7/31/2020 0:00,No
111637,3/16/2021 10:02,Special Leave Issues,Kian Rogers,krogers@mailinator.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Resolved,3/24/2021 13:23,11/23/2020 21:33,0,0,Raya Musk,JDE Support Team,6,3,PROD,PRODUCTION,New Ticket,3/23/2021 0:00,No
111627,3/4/2021 13:13,Post Issue - SAP LOGIN ISSUES ENCOUNTERED,Bladimir Macdonald,bmacdonald@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,3/15/2021 17:09,1/22/2021 22:14,0,1,Jared Smith,SAP Support Team,5,1,NON-PROD,PRODUCTION,Close Ticket,3/11/2021 0:00,No
111628,3/4/2021 13:15,Post Issue - SAP SLOW PERFORMANCE ISSUE,Bladimir Macdonald,bmacdonald@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,3/15/2021 17:06,1/21/2021 20:49,0,1,Jared Smith,SAP Support Team,5,1,NON-PROD,PRODUCTION,New Ticket,3/11/2021 0:00,No
111619,2/17/2021 15:32,issues in UP General Payroll Scholars Report,Melody Thompson,mthompson@yahoo.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,3/10/2021 17:11,12/24/2020 1:47,0,1,Jared Smith,JDE Support Team,21,11,NON-PROD,TEST,New Ticket,2/24/2021 0:00,No
111615,2/15/2021 14:04,"Post Issue - Getting ""No space left on device"" ",Marvin Peters,mpeters@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,3/9/2021 15:06,12/23/2020 3:05,0,1,Jared Smith,SAP Support Team,6,2,NON-PROD,PRODUCTION,New Ticket,2/22/2021 0:00,No
111609,2/15/2021 13:45,Post Issue - Bind Failed / ODSM down,Marvin Peters,mpeters@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,3/2/2021 17:42,12/1/2020 23:55,0,1,Jared Smith,SAP Support Team,6,2,"PROD,PROD",DEVELOPMENT,New Ticket,2/22/2021 0:00,No
111606,2/10/2021 10:53,OpenVPN error,Melody Thompson,mthompson@yahoo.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,2/26/2021 17:25,11/10/2020 2:20,0,1,Raya Musk,AWS Team,7,2,PROD,DEVELOPMENT,New Ticket,2/17/2021 0:00,No
111610,2/15/2021 13:47,Slow performance of SAP/SAP too long to load,Marvin Peters,mpeters@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,2/24/2021 17:38,11/6/2020 4:09,0,1,Jared Smith,SAP Support Team,5,1,PROD,DEVELOPMENT,New Ticket,2/22/2021 0:00,No
111612,2/15/2021 13:53,Cashier officer can't use search in SAP (UPCEB),Marvin Peters,mpeters@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,2/24/2021 17:37,12/7/2018 1:07,0,1,Jared Smith,SAP Support Team,5,1,NON-PROD,DEVELOPMENT,New Ticket,2/22/2021 0:00,No
111613,2/15/2021 13:56,Post Issue - SQL Access ManagerSQL,Marvin Peters,mpeters@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,2/24/2021 17:34,10/27/2020 17:00,0,1,Jared Smith,SAP Support Team,5,1,NON-PROD,TEST,New Ticket,2/22/2021 0:00,No
111614,2/15/2021 14:02,Error appeared Maintain Schedule of Classes module,Marvin Peters,mpeters@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,2/24/2021 17:28,6/2/2020 7:39,0,1,Jared Smith,SAP Support Team,5,1,NON-PROD,PRODUCTION,New Ticket,2/22/2021 0:00,No
111604,2/3/2021 14:11,Received email notifs on 01-FEB-2021,Melody Thompson,mthompson@yahoo.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,2/23/2021 17:47,12/3/2020 6:51,0,1,Jared Smith,JDE Support Team,9,1,NON-PROD,PRODUCTION,New Ticket,2/10/2021 0:00,No
111605,2/8/2021 16:34,Revising the Contact Information,Aurora Miller,aurora.miller@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,2/22/2021 17:35,4/15/2019 14:47,0,1,Jared Smith,SAP Support Team,19,2,NON-PROD,PRODUCTION,Close Ticket,2/15/2021 0:00,No
111611,2/15/2021 13:50,Post Issue - Can't login to SAP,Marvin Peters,mpeters@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,2/22/2021 17:34,12/1/2020 23:51,0,1,Jared Smith,SAP Support Team,7,1,PROD,PRODUCTION,New Ticket,2/22/2021 0:00,No
111593,1/19/2021 23:31,Change Password ,Aurora Miller,aurora.miller@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,2/11/2021 17:04,11/11/2020 10:14,0,1,Jared Smith,SAP Support Team,14,1,PROD,TEST,New Ticket,1/26/2021 0:00,No
111518,10/5/2020 14:56,Error on My ReqJDEition Table,Riza Richardson,rrichardson@mailinator.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,2/2/2021 17:01,10/21/2020 17:00,0,1,Jared Smith,JDE Support Team,64,3,NON-PROD,TEST,New Ticket,10/12/2020 0:00,No
111582,12/18/2020 14:21,Error upon sending notification.,Marvin Peters,mpeters@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,1/25/2021 18:06,10/6/2020 17:00,0,1,Jared Smith,SAP Support Team,10,2,PROD,PRODUCTION,New Ticket,12/25/2020 0:00,No
111561,11/20/2020 16:01,Windows Error,Jovan Brown,jovan_brown@mailinator.com,Normal,Internal Technical Department,Incident / Problem,Phone,Closed,1/8/2021 17:06,10/1/2020 17:00,0,1,Jared Smith,Network Team,4,0,NON-PROD,DEVELOPMENT,Close Ticket,11/27/2020 0:00,No
111580,12/14/2020 18:52,[ODSM] cannot extract LDIF file,Aurora Miller,aurora.miller@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,12/22/2020 17:13,7/22/2020 4:48,0,1,Jared Smith,SAP Support Team,5,2,NON-PROD,DEVELOPMENT,Close Ticket,12/21/2020 0:00,No
111542,10/26/2020 12:29,communication error with SQL client(HRIS system),Grace Evans,gevans@mailinator.com,Normal,Internal Technical Department,Incident / Problem,Email,Closed,12/3/2020 17:25,8/20/2020 0:14,0,1,Jared Smith,Network Team,5,0,PROD,PRODUCTION,New Ticket,11/2/2020 0:00,No
111174,4/10/2019 14:47,JDE Prod - Web Components Status (10 Apr 2019),Cheena Carols,cheena.carols@mailinator.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Open,12/1/2020 17:15,8/15/2020 6:27,1,1,Raya Musk,JDE Support Team,61,0,NON-PROD,DEVELOPMENT,Open ,4/17/2019 0:00,No
111520,10/5/2020 17:07,ODSM Issue (AY 2020-2021 1st Sem),Aurora Miller,aurora.miller@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,11/18/2020 17:43,3/7/2020 0:34,0,1,Jared Smith,SAP Support Team,8,2,NON-PROD,DEVELOPMENT,New Ticket,10/12/2020 0:00,No
